,Id,Name,Location,Rating,Price,Zipcode,Transactions,Review Count,Categories
1,_c0MxccsmIBZcGLJpb4nSA,NaNa Thai Street,31 E 21st St,4.5,$$,10010,"['delivery', 'pickup']",118,"[{'alias': 'thai', 'title': 'Thai'}]"
2,CDa0GJZDMPcjvhbx7RbG5Q,Senn Thai Comfort Food,452 Amsterdam Ave,4.0,$$,10024,"['delivery', 'pickup']",290,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
3,9UkHgv9R3LakP0vNj6DMIg,Charm Kao,193 Schermerhorn St,4.0,$$,11201,"['delivery', 'pickup']",57,"[{'alias': 'thai', 'title': 'Thai'}]"
4,nFszVPUX4tj-oarjfBO0nw,Klong,7 St Marks Pl,4.0,$$,10003,"['delivery', 'pickup']",1112,"[{'alias': 'thai', 'title': 'Thai'}]"
5,9v4l7pz4J709z0mkqUpQbw,Savory Thai,378 Metropolitan Ave,4.5,$$,11211,"['delivery', 'pickup']",65,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'noodles', 'title': 'Noodles'}]"
6,_zRVdCfUcx1cwseFycSQdQ,Thai Farm Kitchen,416 Church Ave,4.5,$$,11218,"['delivery', 'pickup']",238,"[{'alias': 'thai', 'title': 'Thai'}]"
7,rCtsqHtOAOjZ7EUQDFRSbA,Pinto Garden,117 W 10th St,4.0,$$,10011,"['delivery', 'pickup']",260,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
8,v3qL3KqFJYuS_3rCsgpuXQ,Rain II,1095 St Nicholas Ave,3.5,$$,10032,"['delivery', 'pickup']",175,"[{'alias': 'thai', 'title': 'Thai'}]"
9,n20BmzZ-KGd0RCKcPGRv1A,Klom Klorm,181 Wyckoff Ave,4.5,$$,11237,"['delivery', 'pickup']",293,"[{'alias': 'thai', 'title': 'Thai'}]"
10,eGIY_25KFspf8KefDQMj-Q,Lan Larb,637 2nd Ave,4.0,$$,10016,"['delivery', 'pickup']",305,"[{'alias': 'thai', 'title': 'Thai'}]"
11,ZfuZ2byArGq-5j8zX8Afeg,Zest Sushi,249 Broome St,4.0,$$,10002,"['delivery', 'pickup']",852,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'thai', 'title': 'Thai'}]"
12,A_GbgtUSyGWpihHZOqMdwQ,Little Basil,153 E 26th St,4.0,$$,10010,"['delivery', 'pickup']",509,"[{'alias': 'thai', 'title': 'Thai'}]"
13,LIsCe_l7kUlv2cUs6AxNQQ,SUROSS Thai Bistro,4131 Broadway,4.5,$,10033,"['delivery', 'pickup']",195,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'soup', 'title': 'Soup'}]"
14,RnQjRZ9MJrBN9SKiIv3i-A,Amarin Cafe,617 Manhattan Ave,4.0,$$,11222,['delivery'],285,"[{'alias': 'thai', 'title': 'Thai'}]"
15,McU7XI3HoWFELTDaGc1SEw,Ginger and Lemongrass,153 Rivington St,4.0,$$,10002,"['delivery', 'pickup']",397,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
16,KHdYPT0jUnUGdHGaY73mxg,Sukhumvit 51,224 E 51st St,4.0,$$,10022,"['delivery', 'pickup']",753,"[{'alias': 'thai', 'title': 'Thai'}]"
